nameCn,nameEn,objectTypeName,description,property.capex_amount,property.currency,property.period,property.capex_category,property.region,property.capacity_or_technology_purpose,property.data_source,property.company_name,property.previous_period_value,property.next_period_value
Powerchip Semiconductor Manufacturing Corp (PSMC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,93,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Powerchip Semiconductor Manufacturing Corp (PSMC),,
Qinzhou Shenghe Electronic Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Qinzhou Shenghe Electronic Technology,,
RISE 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,RISE,,
Rapidus 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,400,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rapidus,1250,800
Rapidus 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1910,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rapidus,,
RayVio 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,RayVio,,
Renesas 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,299.6,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Renesas,,
Resonac 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,32,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Resonac,,
Rohm 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,60.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rohm,,
Rong Semi (former HIDM Tacoma) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,650,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rong Semi (former HIDM Tacoma),350,0
Rong Semi (former HIDM Tacoma) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,216,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Rong Semi (former HIDM Tacoma),,
SCIOCS (Sumitomo Chemical) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SCIOCS (Sumitomo Chemical),,
SCL (Semiconductor Laboratory) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,60,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SCL (Semiconductor Laboratory),,
SITAR (Bangalore & Hyderabad) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SITAR (Bangalore & Hyderabad),,
SK Hynix 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,5700,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,3630,4300
SK Hynix 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,9724,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SK Hynix,,
SMIC 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,1050,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,750,1050
SMIC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,4528,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SMIC,,
SOITEC Silicon On Insulator Technologies 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,186,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SOITEC Silicon On Insulator Technologies,,
STMicroelectronics 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,365,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,STMicroelectronics,,
STMicroelectronics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1328,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,STMicroelectronics,,
SUNY Polytechnic Institute 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,195,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SUNY Polytechnic Institute,,
SUNY Polytechnic Institute 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,700,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SUNY Polytechnic Institute,,
Samsung 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,4425,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Samsung,2125,4875
Samsung 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,20379.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Samsung,,
Sanan Optoelectronics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,552.42,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Sanan Optoelectronics,,
Semiconductor Integrated Display Technology (SIDTEK) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Semiconductor Integrated Display Technology (SIDTEK),,
Semiconductor Technology Innovation Center (STIC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,100,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Semiconductor Technology Innovation Center (STIC),,
Seoul Semiconductor (SSC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Seoul Semiconductor (SSC),,
Shaanxi Electronic Core Industry Times Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,240,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Shaanxi Electronic Core Industry Times Technology,,
Shaanxi New Light Source Technology 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Shaanxi New Light Source Technology,,
Shanghai Advanced Micro Semiconductors 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,52,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Shanghai Advanced Micro Semiconductors,,
Shanghai IC R&D Center (ICRD) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,240,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Shanghai IC R&D Center (ICRD),,
Shanghai Institute of Microsystem and Information Technology (SIMIT) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Shanghai Institute of Microsystem and Information Technology (SIMIT),,
SiCamore Semi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,SiCamore Semi,,
"SiEn Integrated Circuits Co., Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,108,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"SiEn Integrated Circuits Co., Ltd.",,
"Silan Microelectronics Co., Ltd. 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Silan Microelectronics Co., Ltd.",,
"Silan Microelectronics Co., Ltd. 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,654.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Silan Microelectronics Co., Ltd.",,
Silex Microsystems AB 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,52,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Silex Microsystems AB,,
Sino-Semiconductor 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,40,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Sino-Semiconductor,,
Skorpios 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Skorpios,,
Skywater 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,168,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Skywater,,
Skyworks Solutions Inc. 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,13,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Skyworks Solutions Inc.,,
Sony 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,525,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Sony,560,25
Sony 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,894,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Sony,,
Sumitomo Chemical Advanced Technologies 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Sumitomo Chemical Advanced Technologies,,
"Suzhou Tongguan Microelectronics Co., Ltd. 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Suzhou Tongguan Microelectronics Co., Ltd.",,
Swaysure Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,200,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Swaysure Technology,,
TNO 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,37,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TNO,,
TSMC 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,12800,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,7750,15590
TSMC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,32140.2,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TSMC,,
TYSiC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,104.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,TYSiC,,
Taiwan-Asia Semiconductor Corporation (TASC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,45.6,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Taiwan-Asia Semiconductor Corporation (TASC),,
Tallinn Electrical Engineering Factory Estel 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Tallinn Electrical Engineering Factory Estel,,
Tata Electronics 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,645,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Tata Electronics,152,1075
Texas Instruments 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,800,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Texas Instruments,2425,450
Texas Instruments 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,2151.4,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Texas Instruments,,
Toshiba (TDSC) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,260,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),,
Toshiba (TDSC) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,366.25,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Toshiba (TDSC),,
UMC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1666.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,UMC,,
Unisonic Technologies 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Unisonic Technologies,,
"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,921,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"United Nova Technology (UNT, was SMEC, was SMIC Shaoxing)",,
University - Cornell University 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,University - Cornell University,,
University - MIT (Massachusetts Institute of Technology) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,58,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,University - MIT (Massachusetts Institute of Technology),,
University - Tsing Hua University 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,University - Tsing Hua University,,
Vanguard International Semiconductor (VIS) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,450,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),1350,0
Vanguard International Semiconductor (VIS) 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1208,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vanguard International Semiconductor (VIS),,
Vedanta 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,250,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vedanta,,
Vishay Intertechnology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,180,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Vishay Intertechnology,,
"Visual Photonics Epitaxy Co., Ltd. 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"Visual Photonics Epitaxy Co., Ltd.",,
Winbond Electronic Corporation 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,195,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Winbond Electronic Corporation,,
Winbond Electronic Corporation 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1276,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Winbond Electronic Corporation,,
Wingtech 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,200,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wingtech,,
Wingtech 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,346,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wingtech,,
Wolfspeed 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,122.84,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wolfspeed,,
Wuhan Chuxing Technology 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,1340,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Wuhan Chuxing Technology,,
X-FAB Silicon Foundries 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,10,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,X-FAB Silicon Foundries,,
X-FAB Silicon Foundries 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,65.9,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,X-FAB Silicon Foundries,,
XMC 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,500,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,0,600
XMC 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,48,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,XMC,,
Xian Power Electronics Research Institute (PERI) 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,0,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Xian Power Electronics Research Institute (PERI),,
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026 construction spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 construction spending observation by company.,850,USD million,2026,construction_spending,global,semiconductor_fab_construction,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",900,0
"YMTC (Yangtze Memory Technology Co., Ltd.) 2026 equipment spending (SEMI WFF)",,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,3250,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,"YMTC (Yangtze Memory Technology Co., Ltd.)",,
Zensemi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,100,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zensemi,,
Zensemi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,320,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zensemi,,
Zhuhai Hauxin Microeletronics 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,80,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zhuhai Hauxin Microeletronics,,
Zhuzhou CRRC Times Electric 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,272,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,Zhuzhou CRRC Times Electric,,
onsemi 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,175,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,onsemi,,
onsemi 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,160.8,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,onsemi,,
总计 2026 construction spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 construction spending observation.,39786,USD million,2026,construction_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,,
总计 2026 equipment spending (SEMI WFF),,资本开支,SEMI WFF 2026 Q1 equipment spending observation.,143088.31,USD million,2026,equipment_spending,global,all,/Users/simon/Downloads/SEMI_WFF_2026_1Q.xlsx,总计,,
